Instanta;Algoritm;Nr_Rulari;Total_Cutii;Vol_Container;Umplere_Min_pct;Umplere_Max_pct;Umplere_Medie_pct;Cutii_Plasate_Medie;Timp_Mediu_s
1;SA;5;81;30089620,0000;75,5806;84,8876;81,1969;71,8000;10,6705
1;GA;5;81;30089620,0000;78,6907;80,8712;79,8529;71,2000;9,8032
2;SA;5;114;30089620,0000;77,8921;81,2911;79,8030;100,2000;33,3891
2;GA;5;114;30089620,0000;76,7130;82,7835;80,3235;101,2000;28,1490
3;SA;5;166;30089620,0000;80,9761;87,0907;84,6360;146,2000;67,2919
3;GA;5;166;30089620,0000;82,0519;84,4614;82,9553;143,4000;61,4284
4;SA;5;201;30089620,0000;76,7638;81,6420;79,5613;177,2000;163,7917
4;GA;5;201;30089620,0000;79,9013;81,7468;81,0793;175,4000;142,2308
5;SA;5;117;30089620,0000;74,7808;79,4521;77,5486;97,2000;27,8379
5;GA;5;117;30089620,0000;77,1354;77,9212;77,5317;94,2000;25,7548
6;SA;5;142;30089620,0000;72,2410;81,6460;77,9520;115,0000;75,3517
6;GA;5;142;30089620,0000;76,6982;79,5373;77,5222;115,2000;71,6003
7;SA;5;166;30089620,0000;78,4697;82,9939;80,3834;146,8000;127,4182
7;GA;5;166;30089620,0000;79,2309;81,7851;80,9313;148,2000;109,4023
8;SA;5;122;30089620,0000;80,1032;83,3753;82,1549;110,4000;45,4132
8;GA;5;122;30089620,0000;78,2511;82,2032;80,1888;111,0000;41,9006
9;SA;5;118;30089620,0000;81,5092;84,1362;82,4415;100,2000;36,5697
9;GA;5;118;30089620,0000;79,8152;80,9146;80,4111;98,2000;35,5855
10;SA;5;174;30089620,0000;78,0015;79,7692;78,8218;155,8000;123,2397
10;GA;5;174;30089620,0000;77,7888;80,4456;79,1864;153,0000;120,1873
