Instanta;Algoritm;Run;Cutii_Plasate;Total_Cutii;Procentaj_Umplere;Timp_s
1;SA;1;73;81;84,5922;10,2030
1;GA;1;70;81;79,2812;9,1770
1;SA;2;70;81;79,3924;11,1915
1;GA;2;72;81;80,4854;9,3548
1;SA;3;75;81;81,5316;11,7630
1;GA;3;70;81;79,9362;11,2559
1;SA;4;68;81;75,5806;10,5861
1;GA;4;71;81;78,6907;9,3496
1;SA;5;73;81;84,8876;9,6088
1;GA;5;73;81;80,8712;9,8788
2;SA;1;100;114;80,5103;36,7995
2;GA;1;101;114;79,4535;26,1790
2;SA;2;99;114;77,8921;33,7589
2;GA;2;102;114;80,5290;28,2135
2;SA;3;100;114;78,9835;32,7597
2;GA;3;103;114;82,7835;29,6369
2;SA;4;101;114;80,3378;32,3766
2;GA;4;99;114;76,7130;29,7352
2;SA;5;101;114;81,2911;31,2509
2;GA;5;101;114;82,1383;26,9801
3;SA;1;146;166;84,5686;72,3212
3;GA;1;140;166;82,0629;60,3407
3;SA;2;139;166;80,9761;66,1051
3;GA;2;144;166;83,5792;60,1322
3;SA;3;149;166;87,0907;61,7739
3;GA;3;147;166;84,4614;61,5293
3;SA;4;148;166;84,7983;64,7891
3;GA;4;143;166;82,0519;65,7592
3;SA;5;149;166;85,7463;71,4701
3;GA;5;143;166;82,6212;59,3804
4;SA;1;177;201;76,7638;143,5876
4;GA;1;175;201;79,9013;140,3813
4;SA;2;175;201;80,6463;150,6240
4;GA;2;174;201;80,7362;146,5749
4;SA;3;177;201;78,9253;177,0574
4;GA;3;171;201;81,7123;145,0978
4;SA;4;177;201;79,8291;166,3484
4;GA;4;180;201;81,2996;146,4066
4;SA;5;180;201;81,6420;181,3412
4;GA;5;177;201;81,7468;132,6933
5;SA;1;93;117;74,7808;26,3571
5;GA;1;97;117;77,5109;25,0872
5;SA;2;101;117;79,4521;28,7722
5;GA;2;93;117;77,1354;26,9003
5;SA;3;93;117;77,3574;28,0816
5;GA;3;96;117;77,2301;27,3934
5;SA;4;100;117;77,9494;28,7466
5;GA;4;90;117;77,8610;24,4622
5;SA;5;99;117;78,2031;27,2319
5;GA;5;95;117;77,9212;24,9308
6;SA;1;118;142;81,6460;80,9461
6;GA;1;118;142;79,5373;71,5257
6;SA;2;114;142;76,5455;68,4846
6;GA;2;112;142;76,6982;69,3608
6;SA;3;114;142;80,0023;74,3007
6;GA;3;115;142;77,2147;70,5566
6;SA;4;119;142;79,3251;79,9132
6;GA;4;116;142;77,3370;70,0771
6;SA;5;110;142;72,2410;73,1140
6;GA;5;115;142;76,8240;76,4812
7;SA;1;141;166;78,4697;126,1275
7;GA;1;145;166;79,2309;119,6915
7;SA;2;144;166;79,2669;139,6845
7;GA;2;144;166;81,4475;106,2111
7;SA;3;148;166;82,9939;123,4244
7;GA;3;152;166;81,4171;116,2810
7;SA;4;149;166;81,9236;115,5567
7;GA;4;149;166;81,7851;103,2433
7;SA;5;152;166;79,2632;132,2980
7;GA;5;151;166;80,7756;101,5843
8;SA;1;112;122;80,1032;47,5357
8;GA;1;113;122;82,2032;39,3736
8;SA;2;111;122;82,9834;42,5247
8;GA;2;112;122;78,2511;40,9008
8;SA;3;113;122;82,3472;49,0556
8;GA;3;111;122;80,9872;44,8006
8;SA;4;112;122;83,3753;43,6009
8;GA;4;109;122;79,0511;44,5205
8;SA;5;104;122;81,9652;44,3490
8;GA;5;110;122;80,4513;39,9073
9;SA;1;100;118;81,5092;36,1712
9;GA;1;96;118;80,6131;35,1064
9;SA;2;101;118;84,1362;40,5767
9;GA;2;98;118;79,8152;35,0267
9;SA;3;102;118;83,2714;37,3754
9;GA;3;98;118;80,8650;36,7601
9;SA;4;101;118;81,6166;31,8548
9;GA;4;100;118;79,8475;33,4622
9;SA;5;97;118;81,6741;36,8703
9;GA;5;99;118;80,9146;37,5720
10;SA;1;156;174;79,1529;105,5086
10;GA;1;156;174;80,4456;113,7460
10;SA;2;156;174;79,7692;125,4846
10;GA;2;156;174;78,5622;121,5892
10;SA;3;154;174;78,0015;114,5510
10;GA;3;155;174;79,6754;115,9842
10;SA;4;155;174;78,0853;139,2135
10;GA;4;148;174;79,4596;116,7582
10;SA;5;158;174;79,1003;131,4410
10;GA;5;150;174;77,7888;132,8589
